portfolio_turnover,code,swp_flag,lump_min,stp_flag,face_value,sip_available,sip_maximum_gap,returns_date,returns_inception,returns_year_5,returns_year_1,returns_year_3,sip_multiplier,ISIN,investment_objective,volatility,name,fund_house,last_nav_date,last_nav_nav,fund_manager,fund_category,lump_multiplier,redemption_allowed,direct,fund_type,redemption_amount_minimum,category,sip_min,detail_info,redemption_quantity_multiple,nav_date,nav_nav,switch_allowed,lump_min_additional,fund_name,sip_max,expense_ratio,crisil_rating,purchase_amount_multiplier,instant,redemption_quantity_minimum,lump_available,lump_max,redemption_amount_multiple,plan,short_name,short_code,reinvestment,slug,channel_partner_code,tax_period,maturity_type,aum,jan_31_nav,merged_code,merged_name,merged_date
0.83,MHMBYDD-DR,Y,1000.0,Y,10.0,Y,60.0,2020-03-12,1.4655,0.0,-5.1229,0.0,1.0,INF174V01358,to provide medium to long term capital appreciation through appropriate diversification and taking low risk on business quality. The diversified portfolio would predominantly consist of equity and equity related securities including derivatives.,13.3948,Mahindra Mutual Badhat Yojana Dividend Reinvest Direct Plan,MAHINDRA MUTUAL FUND_MF,2020-03-11,11.3109,Srinivasan Ramamurty,Multi Cap Fund,1.0,Y,Y,Equity,1000.0,Equity,500.0,http://www.mahindramutualfund.com/downloads,0.001,2020-03-12,10.4216,Y,1000.0,MAHINDRA MUTUAL FUND,999999999.0,0.87,Moderately High,,N,0.001,Y,10000000000000.0,0.01,AS N WHEN,Mahindra Mutual Badhat Yojana Dividend Reinvest,mahindra,Y,mahindra-mutual-badhat-yojana-dividend-reinvest--MHMBYDD-DR,MMMBYDD,365,Open Ended,3110,11.3866,,,
0.83,MHMBYDP-DP,Y,1000.0,Y,10.0,Y,60.0,2020-03-12,1.4655,0.0,-5.1229,0.0,1.0,INF174V01366,to provide medium to long term capital appreciation through appropriate diversification and taking low risk on business quality. The diversified portfolio would predominantly consist of equity and equity related securities including derivatives.,13.3948,Mahindra Mutual Badhat Yojana Dividend Payout Direct Plan,MAHINDRA MUTUAL FUND_MF,2020-03-11,11.3109,Srinivasan Ramamurty,Multi Cap Fund,1.0,Y,Y,Equity,1000.0,Equity,500.0,http://www.mahindramutualfund.com/downloads,0.001,2020-03-12,10.4216,Y,1000.0,MAHINDRA MUTUAL FUND,999999999.0,0.87,Moderately High,,N,0.001,Y,10000000000000.0,0.01,AS N WHEN,Mahindra Mutual Badhat Yojana Dividend Payout,mahindra,N,mahindra-mutual-badhat-yojana-dividend-payout--MHMBYDP-DP,MMMBYDP,365,Open Ended,3110,11.3866,,,
0.37,MHEBYDG-GR,Y,1000.0,Y,10.0,Y,60.0,2020-03-12,-3.7866,0.0,-3.0333,0.0,1.0,INF174V01507,to generate long term capital appreciation & provide long-term growth opportunities by investing in a portfolio constituted of equity & equity related securities and derivatives predominantly in mid cap companies. ,14.396,Mahindra Unnati Emerging Business Yojana Growth Direct Plan,MAHINDRA MUTUAL FUND_MF,2020-03-11,9.8729,V.Balasubramanian,Mid Cap Fund,1.0,Y,Y,Equity,1000.0,Equity,500.0,http://www.mahindramutualfund.com/downloads,0.001,2020-03-12,9.216,Y,1000.0,MAHINDRA MUTUAL FUND,999999999.0,0.92,Moderately High,,N,0.001,Y,10000000000000.0,0.01,GROWTH,Mahindra Unnati Emerging Business Yojana,mahindra,Z,mahindra-unnati-emerging-business-yojana-growth--MHEBYDG-GR,MMEBYDG,365,Open Ended,5070,,,,
0.37,MHEBYDD-DR,Y,1000.0,Y,10.0,Y,60.0,2020-03-12,-3.7836,0.0,-3.086,0.0,1.0,INF174V01515,to generate long term capital appreciation & provide long-term growth opportunities by investing in a portfolio constituted of equity & equity related securities and derivatives predominantly in mid cap companies. ,14.3985,Mahindra Unnati Emerging Business Yojana Dividend Reinvest Direct Plan,MAHINDRA MUTUAL FUND_MF,2020-03-11,9.8735,V.Balasubramanian,Mid Cap Fund,1.0,Y,Y,Equity,1000.0,Equity,500.0,http://www.mahindramutualfund.com/downloads,0.001,2020-03-12,9.2166,Y,1000.0,MAHINDRA MUTUAL FUND,999999999.0,0.92,Moderately High,,N,0.001,Y,10000000000000.0,0.01,AS N WHEN,Mahindra Unnati Emerging Business Yojana Dividend Reinvest,mahindra,Y,mahindra-unnati-emerging-business-yojana-dividend-reinvest--MHEBYDD-DR,MMEBYDD,365,Open Ended,5070,,,,
0.37,MHEBYDP-DP,Y,1000.0,Y,10.0,Y,60.0,2020-03-12,-3.7836,0.0,-3.086,0.0,1.0,INF174V01523,to generate long term capital appreciation & provide long-term growth opportunities by investing in a portfolio constituted of equity & equity related securities and derivatives predominantly in mid cap companies. ,14.3985,Mahindra Unnati Emerging Business Yojana Dividend Payout Direct Plan,MAHINDRA MUTUAL FUND_MF,2020-03-11,9.8735,V.Balasubramanian,Mid Cap Fund,1.0,Y,Y,Equity,1000.0,Equity,500.0,http://www.mahindramutualfund.com/downloads,0.001,2020-03-12,9.2166,Y,1000.0,MAHINDRA MUTUAL FUND,999999999.0,0.92,Moderately High,,N,0.001,Y,10000000000000.0,0.01,AS N WHEN,Mahindra Unnati Emerging Business Yojana Dividend Payout,mahindra,N,mahindra-unnati-emerging-business-yojana-dividend-payout--MHEBYDP-DP,MMEBYDP,365,Open Ended,5070,,,,
0.0679,KOP03DD-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,9.9809,1.9239,-17.2549,-2.1212,1.0,INF178L01AJ3,The investment objective of the Scheme is to generate long-term capital appreciation from a diversified portfolio of predominantly equity and equity-related securities of companies involved in economic development of India as a result of potential investments in infrastructure and unfolding economic reforms. There is no assurance that the investment objective of the Scheme will be achieved.,14.2461,Kotak Infrastructure & Economic Reform Dividend Reinvest Direct Plan,KOTAKMAHINDRAMF,2020-03-11,18.986,Harish Krishnan,Sectoral/Thematic,1.0,Y,Y,Equity,1.0,Equity,1000.0,http://assetmanagement.kotak.com/web/guest/scheme-information-document,0.001,2020-03-12,17.58,Y,1000.0,Kotak Mutual Fund,999999999.0,1.41,High,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND ANNUAL,Kotak Infrastructure & Economic Reform Dividend Reinvest,kotak,Y,kotak-infrastructure-economic-reform-dividend-reinvest--KOP03DD-DR,K53D,365,Open Ended,3130,24.434,,,
0.0679,KOP03DDP-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,9.9809,1.9239,-17.2549,-2.1212,1.0,INF178L01AJ3,The investment objective of the Scheme is to generate long-term capital appreciation from a diversified portfolio of predominantly equity and equity-related securities of companies involved in economic development of India as a result of potential investments in infrastructure and unfolding economic reforms. There is no assurance that the investment objective of the Scheme will be achieved.,14.2461,Kotak Infrastructure & Economic Reform Dividend Payout Direct Plan,KOTAKMAHINDRAMF,2020-03-11,18.986,Harish Krishnan,Sectoral/Thematic,1.0,Y,Y,Equity,1.0,Equity,1000.0,http://assetmanagement.kotak.com/web/guest/scheme-information-document,0.001,2020-03-12,17.58,Y,1000.0,Kotak Mutual Fund,999999999.0,1.41,High,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND ANNUAL,Kotak Infrastructure & Economic Reform Dividend Payout,kotak,N,kotak-infrastructure-economic-reform-dividend-payout--KOP03DDP-DP,K53D,365,Open Ended,3130,24.434,,,
0.0679,KO03GD-GR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,9.8259,1.7176,-17.2578,-2.4726,1.0,INF178L01AL9,The investment objective of the Scheme is to generate long-term capital appreciation from a diversified portfolio of predominantly equity and equity-related securities of companies involved in economic development of India as a result of potential investments in infrastructure and unfolding economic reforms. There is no assurance that the investment objective of the Scheme will be achieved.,14.2416,Kotak Infrastructure & Economic Reform Growth Direct Plan,KOTAKMAHINDRAMF,2020-03-11,19.205,Harish Krishnan,Sectoral/Thematic,1.0,Y,Y,Equity,1000.0,Equity,1000.0,http://assetmanagement.kotak.com/web/guest/scheme-information-document,0.001,2020-03-12,17.782,Y,1000.0,Kotak Mutual Fund,999999999.0,1.41,High,,N,0.001,Y,10000000000000.0,0.01,GROWTH,Kotak Infrastructure & Economic Reform,kotak,Z,kotak-infrastructure-economic-reform-growth--KO03GD-GR,K53G,365,Open Ended,3130,24.451,,,
,KO05DD-DR,N,5000.0,Y,10.0,N,60.0,2020-02-28,-2.3661,6.9715,32.7001,3.3068,1.0,INF178L01AM7,To provide long term capital appreciation by investing predominantly in units of Falcon Gold Equity Fund. The Scheme may; at the discretion of the Investment Manager; also invest in the units of other similar overseas mutual fund schemes and/or units of debt/liquid schemes of Mutual Funds; in order to meet liquidity requirements from time to time.,32.9887,Kotak World Gold Dividend Reinvest Direct Plan,KOTAKMAHINDRAMF,2020-02-24,9.779,Arjun Khanna,Fund of Funds,1.0,Y,Y,Others,1000.0,Equity,1000.0,http://assetmanagement.kotak.com/web/guest/scheme-information-document,0.001,2020-02-25,9.78,Y,1000.0,Kotak Mutual Fund,199999.0,0.57,High,,N,0.001,N,10000000000000.0,0.01,DIVIDEND ANNUAL,Kotak World Gold Dividend Reinvest,kotak,Y,kotak-world-gold-dividend-reinvest--KO05DD-DR,K55D,1095,Open Ended,510,7.674,,,
,PCLFZW-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,4.64,3.6853,5.4622,2.3828,1.0,INF173K01GY2,To provide investors with as high a level of income available from short-term investments as is considered consistent with preservation of capital and maintenance of liquidity; by investing in a portfolio of money market and investment grade debt instruments.,0.852474,Principal Cash Management Weekly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1007.89,Bekxy Kuriakose,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1006.84,Y,1000.0,Principal Mutual Fund,999999999.0,0.17,Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND WEEKLY,Principal Cash Management Weekly Dividend Reinvest,principal,Y,principal-cash-management-weekly-dividend-reinvest--PCLFZW-DR,103LFZW,1095,Open Ended,1600,1008.06,,,
5.79,PCMIZG-GR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,6.0036,5.0473,-1.7183,4.4284,1.0,INF173K01GZ9,The investment objective of the Scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments.,4.6138,Principal Equity Saving Growth Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,37.975,Gurvinder Singh Wasan; Sudhir Kedia,Equity Savings,1.0,Y,Y,Hybrid,500.0,Equity,500.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,36.9151,Y,1000.0,Principal Mutual Fund,999999999.0,1.52,Moderately High,,N,0.001,Y,10000000000000.0,0.01,GROWTH,Principal Equity Saving,principal,Z,principal-equity-saving-growth--PCMIZG-GR,103MIZG,365,Open Ended,400,36.1987,,,
5.79,PCMIZM-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,4.9822,4.1621,-8.8323,1.7769,1.0,INF173K01HC6,The investment objective of the Scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments.,6.62426,Principal Equity Saving Half Yearly Dividend Payout Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,11.3261,Gurvinder Singh Wasan; Sudhir Kedia,Equity Savings,1.0,Y,Y,Hybrid,500.0,Equity,500.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,11.01,Y,1000.0,Principal Mutual Fund,999999999.0,1.52,Moderately High,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal Equity Saving Half Yearly Dividend Payout,principal,N,principal-equity-saving-half-yearly-dividend-payout--PCMIZM-DP,103MIZM,365,Open Ended,400,11.8502,,,
5.79,PCMIZM-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,4.9822,4.1621,-8.8323,1.7769,1.0,INF173K01HD4,The investment objective of the Scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments.,6.62426,Principal Equity Saving Half Yearly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,11.3261,Gurvinder Singh Wasan; Sudhir Kedia,Equity Savings,1.0,Y,Y,Hybrid,500.0,Equity,500.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,11.01,Y,1000.0,Principal Mutual Fund,999999999.0,1.52,Moderately High,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal Equity Saving Half Yearly Dividend Reinvest,principal,Y,principal-equity-saving-half-yearly-dividend-reinvest--PCMIZM-DR,103MIZM,365,Open Ended,400,11.8502,,,
5.79,PCMIZQ-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,4.3442,3.6165,-3.0284,3.9624,1.0,INF173K01HF9,The investment objective of the Scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments.,5.48007,Principal Equity Saving Quarterly Dividend Payout Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,15.2354,Gurvinder Singh Wasan; Sudhir Kedia,Equity Savings,1.0,Y,Y,Hybrid,500.0,Equity,500.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,14.8102,Y,1000.0,Principal Mutual Fund,999999999.0,1.52,Moderately High,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND QUARTERLY,Principal Equity Saving Quarterly Dividend Payout,principal,N,principal-equity-saving-quarterly-dividend-payout--PCMIZQ-DP,103MIZQ,365,Open Ended,400,14.7195,,,
5.79,PCMIZQ-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,4.3442,3.6165,-3.0284,3.9624,1.0,INF173K01HG7,The investment objective of the Scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments.,5.48007,Principal Equity Saving Quarterly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,15.2354,Gurvinder Singh Wasan; Sudhir Kedia,Equity Savings,1.0,Y,Y,Hybrid,500.0,Equity,500.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,14.8102,Y,1000.0,Principal Mutual Fund,999999999.0,1.52,Moderately High,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND QUARTERLY,Principal Equity Saving Quarterly Dividend Reinvest,principal,Y,principal-equity-saving-quarterly-dividend-reinvest--PCMIZQ-DR,103MIZQ,365,Open Ended,400,14.7195,,,
,PCMMZG-GR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,7.4764,6.528,6.9083,5.3521,1.0,INF173K01HI3,To generate regular income & capital appreciation through investments in debt securities and money market instruments.,0.345713,Principal Ultra Short Term Growth Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,2161.83,Bekxy Kuriakose,Ultra Short Duration Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,2160.76,Y,1000.0,Principal Mutual Fund,999999999.0,0.32,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,GROWTH,Principal UST,principal,Z,principal-ultra-short-term-growth--PCMMZG-GR,103MMZG,1095,Open Ended,930,1960.53,,,
,PCMMZM-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,4.956,3.8808,1.4616,2.5225,1.0,INF173K01HJ1,To generate regular income & capital appreciation through investments in debt securities and money market instruments.,2.55655,Principal Ultra Short Term Monthly Dividend Reinvest Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1062.29,Bekxy Kuriakose,Ultra Short Duration Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1061.77,Y,1000.0,Principal Mutual Fund,999999999.0,0.32,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal UST Monthly Dividend Reinvest,principal,Y,principal-ultra-short-term-monthly-dividend-reinvest--PCMMZM-DR,103MMZM,1095,Open Ended,930,1061.62,,,
,PCMMZM-DP,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,4.956,3.8808,1.4616,2.5225,1.0,INF173K01HK9,To generate regular income & capital appreciation through investments in debt securities and money market instruments.,2.55655,Principal Ultra Short Term Monthly Dividend Payout Direct Plan,PRINCIPALMUTUALFUND_MF,2020-03-11,1062.29,Bekxy Kuriakose,Ultra Short Duration Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2020-03-12,1061.77,Y,1000.0,Principal Mutual Fund,999999999.0,0.32,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,Principal UST Monthly Dividend Payout,principal,N,principal-ultra-short-term-monthly-dividend-payout--PCMMZM-DP,103MMZM,1095,Open Ended,930,1061.62,,,
7.94,PCMPZG-GR,N,5000.0,N,10.0,N,60.0,2019-06-28,0.0,0.0,0.0,0.0,1.0,INF173K01HM5,The fund seeks to generate steady income and capital appreciation by investing primarily in AA+ and above rated corporate debt securities across maturities and ratings while maintaining the optimum balance of yield; safety and liquidity.,2.26964,Principal Corporate Bond Growth Direct Plan,PRINCIPALMUTUALFUND_MF,2019-05-28,33.4937,Gurvinder Singh Wasan,Corporate Bond Fund,1.0,N,Y,Debt,500.0,Debt - Bonds,2000.0,https://www.principalindia.com/downloads/Funds.aspx,0.001,2019-05-29,33.4982,N,1000.0,Principal Mutual Fund,999999999.0,0.46,Moderate,,N,0.001,N,10000000000000.0,0.01,GROWTH,Principal Corporate Bond,principal,Z,principal-corporate-bond-growth--PCMPZG-GR,103MPZG,1095,Open Ended,180,30.3257,,,
,KOP06DD-DR,Y,5000.0,Y,10.0,N,60.0,2020-02-28,11.9727,11.67,17.1244,13.2385,1.0,INF178L01CN1,To provide long term capital appreciation by investing in units of a fund that invests predominantly in equity and equity-related securities of companies having assets; products or operations in the United States.,13.4593,Kotak US Equity Dividend Reinvest Direct Plan,KOTAKMAHINDRAMF,2020-02-24,20.126,Arjun Khanna,Fund of Funds,1.0,Y,Y,Others,1.0,Debt - Bonds,1000.0,http://assetmanagement.kotak.com/web/guest/scheme-information-document,0.001,2020-02-25,20.129,Y,1000.0,Kotak Mutual Fund,199999.0,0.62,High,,N,0.001,N,10000000000000.0,1.0,AS N WHEN,Kotak US Equity Dividend Reinvest,kotak,Y,kotak-us-equity-dividend-reinvest--KOP06DD-DR,K56D,1095,Open Ended,140,15.812,,,
,KOP06DDP-DP,Y,5000.0,Y,10.0,N,60.0,2020-02-28,11.9727,11.67,17.1244,13.2385,1.0,INF178L01CN1,To provide long term capital appreciation by investing in units of a fund that invests predominantly in equity and equity-related securities of companies having assets; products or operations in the United States.,13.4593,Kotak US Equity Dividend Payout Direct Plan,KOTAKMAHINDRAMF,2020-02-24,20.126,Arjun Khanna,Fund of Funds,1.0,Y,Y,Others,1.0,Debt - Bonds,1000.0,http://assetmanagement.kotak.com/web/guest/scheme-information-document,0.001,2020-02-25,20.129,Y,1000.0,Kotak Mutual Fund,199999.0,0.62,High,,N,0.001,N,10000000000000.0,1.0,AS N WHEN,Kotak US Equity Dividend Payout,kotak,N,kotak-us-equity-dividend-payout--KOP06DDP-DP,K56D,1095,Open Ended,140,15.812,,,
,HDAIBGT-GR,N,5000.0,N,10.0,N,30.0,2017-05-25,0.0,0.0,0.0,0.0,1.0,INF179K01G04,The primary objective of the Scheme is to generate regular income through investments in Debt / Money Market Instruments and Government Securities,0.31809,HDFC Annual Interval Series 1 B Growth Direct Plan,HDFCMutualFund_MF,2017-04-24,14.0544,Anil Bamboli; Rakesh Vyas,Interval Plans,10.0,N,Y,Debt,500.0,Debt - Bonds,0.0,http://www.hdfcfund.com/downloads/sid,0.001,2017-04-25,14.0568,N,5000.0,HDFC Mutual Fund,0.0,0.01,,,N,50.0,N,10000000000000.0,0.01,GROWTH,HDFC Annual Interval Series 1 B,hdfc,Z,hdfc-annual-interval-series-1-b-growth--HDAIBGT-GR,AIBGT,1095,Close Ended,320,,,,
,HDAIBDT-DP,N,5000.0,N,10.0,N,30.0,2017-05-25,0.0,0.0,0.0,0.0,1.0,INF179K01G12,The primary objective of the Scheme is to generate regular income through investments in Debt / Money Market Instruments and Government Securities,0.316701,HDFC Annual Interval Series 1 B Normal Dividend Payout Direct Plan,HDFCMutualFund_MF,2017-04-24,10.0345,Anil Bamboli; Rakesh Vyas,Interval Plans,10.0,N,Y,Debt,500.0,Debt - Bonds,0.0,http://www.hdfcfund.com/downloads/sid,0.001,2017-04-25,10.0362,N,5000.0,HDFC Mutual Fund,0.0,0.01,,,N,50.0,N,10000000000000.0,0.01,AS N WHEN,HDFC Annual Interval Series 1 B Normal Dividend Payout,hdfc,N,hdfc-annual-interval-series-1-b-normal-dividend-payout--HDAIBDT-DP,AIBDT,1095,Close Ended,320,,,,
,HDAIBRT-DR,N,5000.0,N,10.0,N,30.0,2017-05-25,0.0,0.0,0.0,0.0,1.0,INF179K01G20,The primary objective of the Scheme is to generate regular income through investments in Debt / Money Market Instruments and Government Securities,0.316701,HDFC Annual Interval Series 1 B Normal Dividend Reinvest Direct Plan,HDFCMutualFund_MF,2017-04-24,10.0345,Anil Bamboli; Rakesh Vyas,Interval Plans,10.0,N,Y,Debt,500.0,Debt - Bonds,0.0,http://www.hdfcfund.com/downloads/sid,0.001,2017-04-25,10.0362,N,5000.0,HDFC Mutual Fund,0.0,0.01,,,N,50.0,N,10000000000000.0,0.01,AS N WHEN,HDFC Annual Interval Series 1 B Normal Dividend Reinvest,hdfc,Y,hdfc-annual-interval-series-1-b-normal-dividend-reinvest--HDAIBRT-DR,AIBRT,1095,Close Ended,320,,,,
0.2308,02T-GR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,8.3059,1.4778,-23.0703,-0.6445,1.0,INF179K01UT0,To generate capital appreciation / income from a portfolio; predominantly invested in equity & equity related instruments. There is no assurance that the investment objective of the Scheme will be realized,17.457,HDFC Equity Growth Direct Plan,HDFCMutualFund_MF,2020-03-11,584.886,Prashant Jain,Multi Cap Fund,0.01,Y,Y,Equity,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,527.199,Y,1000.0,HDFC Mutual Fund,999999999.0,1.26,Moderately High,,N,0.001,Y,10000000000000.0,1.0,GROWTH,HDFC Equity,hdfc,Z,hdfc-equity-growth--02T-GR,H02T,365,Open Ended,214170,699.585,,,
0.3852,61T-DP,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,12.8637,1.641,-26.3498,-2.4936,1.0,INF179K01VA8,To achieve capital appreciation/income in the long term by primarily investing in undervalued stocks. There is no assurance that the investment objective of the Scheme will be realized,18.8745,HDFC Capital Builder Value Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,20.156,Miten Lathia,Value Fund,0.01,Y,Y,Equity,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,18.24,Y,1000.0,HDFC Mutual Fund,999999999.0,1.19,Moderately High,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Capital Builder Value Dividend Payout,hdfc,N,hdfc-capital-builder-value-dividend-payout--61T-DP,H61T,365,Open Ended,40100,35.252,,,
0.3852,HD61T-DR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,12.8637,1.641,-26.3498,-2.4936,1.0,INF179K01VA8,To achieve capital appreciation/income in the long term by primarily investing in undervalued stocks. There is no assurance that the investment objective of the Scheme will be realized,18.8745,HDFC Capital Builder Value Dividend Reinvest Direct Plan,HDFCMutualFund_MF,2020-03-11,20.156,Miten Lathia,Value Fund,0.01,Y,Y,Equity,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,18.24,Y,1000.0,HDFC Mutual Fund,999999999.0,1.19,Moderately High,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Capital Builder Value Dividend Reinvest,hdfc,Y,hdfc-capital-builder-value-dividend-reinvest--HD61T-DR,H61T,365,Open Ended,40100,35.252,,,
0.3852,62T-GR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,10.0353,2.4043,-24.4598,-1.2634,1.0,INF179K01VC4,To achieve capital appreciation/income in the long term by primarily investing in undervalued stocks. There is no assurance that the investment objective of the Scheme will be realized,14.852,HDFC Capital Builder Value Growth Direct Plan,HDFCMutualFund_MF,2020-03-11,258.925,Miten Lathia,Value Fund,0.01,Y,Y,Equity,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,234.305,Y,1000.0,HDFC Mutual Fund,999999999.0,1.19,Moderately High,,N,0.001,Y,10000000000000.0,1.0,GROWTH,HDFC Capital Builder Value,hdfc,Z,hdfc-capital-builder-value-growth--62T-GR,H62T,365,Open Ended,40100,320.009,,,
0.41,54T-GR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,8.3646,8.071,8.1757,7.6585,1.0,INF179K01VF7,To generate income / capital appreciation through investment in debt securities and money market instruments. There is no assurance that the investment objective of the Scheme will be realized.,0.651503,HDFC Low Duration Retail Growth Direct Plan,HDFCMutualFund_MF,2020-03-11,44.0203,Anupam Joshi,Low Duration Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,43.9515,Y,1000.0,HDFC Mutual Fund,999999999.0,0.44,Low,,N,100.0,Y,10000000000000.0,1.0,GROWTH,HDFC Low Duration Retail,hdfc,Z,hdfc-low-duration-retail-growth--54T-GR,H54T,1095,Open Ended,159560,37.4617,,,
1.94,8271-DR,Y,100.0,Y,100.0,Y,60.0,2020-03-12,6.013,5.5931,5.8082,5.3136,1.0,INF109K017Y1,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,2.35236,ICICI Prudential Saving Monthly Dividend Reinvest Direct Plan,ICICIPrudentialMutualFund_MF,2020-03-11,101.132,Rahul Goswami; Rohan Maru,Low Duration Fund,1.0,Y,Y,Debt,0.01,Debt - Bonds,100.0,https://www.icicipruamc.com/Downloads/sid-mutual-fund-new.aspx,0.001,2020-03-12,100.912,Y,100.0,ICICI Prudential Mutual Fund,999999999.0,0.41,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,ICICI Pru Saving Monthly Dividend Reinvest,icici,Y,icici-prudential-saving-monthly-dividend-reinvest--8271-DR,P8271,1095,Open Ended,221500,101.113,,,
1.94,IC8271-DP,Y,100.0,Y,100.0,Y,60.0,2020-03-12,6.013,5.5931,5.8082,5.3136,1.0,INF109K017Y1,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,2.35236,ICICI Prudential Saving Monthly Dividend Payout Direct Plan,ICICIPrudentialMutualFund_MF,2020-03-11,101.132,Rahul Goswami; Rohan Maru,Low Duration Fund,1.0,Y,Y,Debt,0.01,Debt - Bonds,100.0,https://www.icicipruamc.com/Downloads/sid-mutual-fund-new.aspx,0.001,2020-03-12,100.912,Y,100.0,ICICI Prudential Mutual Fund,999999999.0,0.41,Moderately Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,ICICI Pru Saving Monthly Dividend Payout,icici,N,icici-prudential-saving-monthly-dividend-payout--IC8271-DP,P8271,1095,Open Ended,221500,101.113,,,
